Time	SpeedSignalFreq	Speed
2020-10-21T10:37:56.000000+09:00	13	154.25
2020-10-21T10:37:56.020000+09:00	18	154.15
2020-10-21T10:37:56.050000+09:00	23	154.25
2020-10-21T10:37:56.070000+09:00	29	154.23
2020-10-21T10:37:56.100000+09:00	34	154.25
2020-10-21T10:37:56.120000+09:00	40	154.31
2020-10-21T10:37:56.150000+09:00	45	154.25
2020-10-21T10:37:56.170000+09:00	51	154.27
2020-10-21T10:37:56.200000+09:00	56	154.27
2020-10-21T10:37:56.220000+09:00	62	154.27
2020-10-21T10:37:56.250000+09:00	3	154.3
2020-10-21T10:37:56.270000+09:00	8	154.33
2020-10-21T10:37:56.300000+09:00	14	154.11
2020-10-21T10:37:56.320000+09:00	19	154.25
2020-10-21T10:37:56.350000+09:00	25	154.24
2020-10-21T10:37:56.370000+09:00	30	154.22
2020-10-21T10:37:56.400000+09:00	36	154.12
2020-10-21T10:37:56.420000+09:00	41	154.26
2020-10-21T10:37:56.450000+09:00	47	154.29
2020-10-21T10:37:56.470000+09:00	52	154.27
2020-10-21T10:37:56.500000+09:00	58	154.21
2020-10-21T10:37:56.520000+09:00	63	154.21
2020-10-21T10:37:56.550000+09:00	4	154.31
2020-10-21T10:37:56.570000+09:00	10	154.29
2020-10-21T10:37:56.600000+09:00	15	154.3
2020-10-21T10:37:56.620000+09:00	21	154.27
2020-10-21T10:37:56.650000+09:00	26	154.21
2020-10-21T10:37:56.670000+09:00	32	154.38
2020-10-21T10:37:56.700000+09:00	37	154.3
2020-10-21T10:37:56.720000+09:00	43	154.42
2020-10-21T10:37:56.750000+09:00	48	154.3
2020-10-21T10:37:56.770000+09:00	53	154.28
2020-10-21T10:37:56.800000+09:00	59	154.49
2020-10-21T10:37:56.820000+09:00	0	154.39
2020-10-21T10:37:56.850000+09:00	6	154.28
2020-10-21T10:37:56.870000+09:00	11	154.43
2020-10-21T10:37:56.900000+09:00	17	154.33
2020-10-21T10:37:56.920000+09:00	22	154.3
2020-10-21T10:37:56.950000+09:00	28	154.34
2020-10-21T10:37:56.970000+09:00	33	154.33
2020-10-21T10:37:57.000000+09:00	38	154.31
2020-10-21T10:37:57.020000+09:00	44	154.32
2020-10-21T10:37:57.040000+09:00	49	154.19
2020-10-21T10:37:57.070000+09:00	55	154.28
2020-10-21T10:37:57.090000+09:00	60	154.44
2020-10-21T10:37:57.120000+09:00	1	154.19
2020-10-21T10:37:57.140000+09:00	7	154.25
2020-10-21T10:37:57.170000+09:00	12	154.22
2020-10-21T10:37:57.190000+09:00	18	154.14
2020-10-21T10:37:57.220000+09:00	23	154.32
2020-10-21T10:37:57.240000+09:00	28	154.46
2020-10-21T10:37:57.270000+09:00	34	154.25
2020-10-21T10:37:57.290000+09:00	39	154.42
2020-10-21T10:37:57.320000+09:00	45	154.36
2020-10-21T10:37:57.340000+09:00	51	154.42
2020-10-21T10:37:57.370000+09:00	56	154.41
2020-10-21T10:37:57.390000+09:00	62	154.37
2020-10-21T10:37:57.420000+09:00	3	154.32
2020-10-21T10:37:57.450000+09:00	9	154.51
2020-10-21T10:37:57.470000+09:00	15	154.24
2020-10-21T10:37:57.500000+09:00	20	154.45
2020-10-21T10:37:57.520000+09:00	26	154.37
2020-10-21T10:37:57.550000+09:00	31	154.44
2020-10-21T10:37:57.570000+09:00	37	154.35
2020-10-21T10:37:57.600000+09:00	42	154.47
2020-10-21T10:37:57.620000+09:00	48	154.34
2020-10-21T10:37:57.650000+09:00	54	154.55
2020-10-21T10:37:57.680000+09:00	59	154.35
2020-10-21T10:37:57.700000+09:00	1	154.46
2020-10-21T10:37:57.730000+09:00	6	154.4
2020-10-21T10:37:57.750000+09:00	12	154.47
2020-10-21T10:37:57.780000+09:00	18	154.42
2020-10-21T10:37:57.800000+09:00	23	154.36
2020-10-21T10:37:57.830000+09:00	29	154.4
2020-10-21T10:37:57.860000+09:00	34	154.37
2020-10-21T10:37:57.880000+09:00	40	154.42
2020-10-21T10:37:57.910000+09:00	46	154.56
2020-10-21T10:37:57.930000+09:00	51	154.39
2020-10-21T10:37:57.960000+09:00	56	154.47
2020-10-21T10:37:57.980000+09:00	62	154.55
2020-10-21T10:37:58.000000+09:00	3	154.53
2020-10-21T10:37:58.030000+09:00	9	154.44
2020-10-21T10:37:58.050000+09:00	14	154.42
2020-10-21T10:37:58.080000+09:00	19	154.36
2020-10-21T10:37:58.100000+09:00	25	154.37
2020-10-21T10:37:58.130000+09:00	30	154.42
2020-10-21T10:37:58.150000+09:00	36	154.46
2020-10-21T10:37:58.180000+09:00	41	154.43
2020-10-21T10:37:58.200000+09:00	46	154.48
2020-10-21T10:37:58.230000+09:00	52	154.46
2020-10-21T10:37:58.250000+09:00	57	154.47
2020-10-21T10:37:58.280000+09:00	63	154.56
2020-10-21T10:37:58.300000+09:00	4	154.24
2020-10-21T10:37:58.320000+09:00	9	154.5
2020-10-21T10:37:58.350000+09:00	15	154.51
2020-10-21T10:37:58.370000+09:00	20	154.6
2020-10-21T10:37:58.400000+09:00	25	154.48
2020-10-21T10:37:58.420000+09:00	31	154.6
2020-10-21T10:37:58.450000+09:00	36	154.59
2020-10-21T10:37:58.470000+09:00	42	154.56
2020-10-21T10:37:58.500000+09:00	47	154.54
2020-10-21T10:37:58.520000+09:00	52	154.61
2020-10-21T10:37:58.550000+09:00	58	154.62
2020-10-21T10:37:58.570000+09:00	63	154.68
2020-10-21T10:37:58.600000+09:00	5	154.56
2020-10-21T10:37:58.620000+09:00	10	154.66
2020-10-21T10:37:58.650000+09:00	15	154.59
2020-10-21T10:37:58.670000+09:00	21	154.62
2020-10-21T10:37:58.690000+09:00	26	154.64
2020-10-21T10:37:58.720000+09:00	32	154.57
2020-10-21T10:37:58.740000+09:00	37	154.58
2020-10-21T10:37:58.770000+09:00	42	154.53
2020-10-21T10:37:58.790000+09:00	48	154.46
2020-10-21T10:37:58.820000+09:00	53	154.44
2020-10-21T10:37:58.840000+09:00	59	154.62
2020-10-21T10:37:58.870000+09:00	0	154.47
2020-10-21T10:37:58.890000+09:00	5	154.64
2020-10-21T10:37:58.920000+09:00	11	154.4
2020-10-21T10:37:58.940000+09:00	16	154.81
2020-10-21T10:37:58.970000+09:00	22	154.65
2020-10-21T10:37:58.990000+09:00	27	154.78
2020-10-21T10:37:59.020000+09:00	32	154.78
2020-10-21T10:37:59.040000+09:00	38	154.86
2020-10-21T10:37:59.060000+09:00	43	154.74
2020-10-21T10:37:59.090000+09:00	49	154.88
2020-10-21T10:37:59.110000+09:00	54	154.73
2020-10-21T10:37:59.140000+09:00	60	154.91
2020-10-21T10:37:59.160000+09:00	1	154.98
2020-10-21T10:37:59.190000+09:00	6	154.91
2020-10-21T10:37:59.210000+09:00	12	154.58
2020-10-21T10:37:59.240000+09:00	17	154.81
2020-10-21T10:37:59.260000+09:00	23	154.66
2020-10-21T10:37:59.290000+09:00	28	154.85
2020-10-21T10:37:59.310000+09:00	33	154.83
2020-10-21T10:37:59.340000+09:00	39	154.73
2020-10-21T10:37:59.360000+09:00	44	154.93
2020-10-21T10:37:59.390000+09:00	50	154.92
2020-10-21T10:37:59.410000+09:00	55	154.76
2020-10-21T10:37:59.430000+09:00	60	154.74
2020-10-21T10:37:59.460000+09:00	2	154.9
2020-10-21T10:37:59.480000+09:00	7	154.62
2020-10-21T10:37:59.510000+09:00	13	154.79
2020-10-21T10:37:59.530000+09:00	18	154.6
2020-10-21T10:37:59.560000+09:00	23	154.8
2020-10-21T10:37:59.580000+09:00	29	154.61
2020-10-21T10:37:59.610000+09:00	34	154.73
2020-10-21T10:37:59.630000+09:00	40	154.66
2020-10-21T10:37:59.660000+09:00	45	154.92
2020-10-21T10:37:59.680000+09:00	50	154.66
2020-10-21T10:37:59.710000+09:00	56	154.97
2020-10-21T10:37:59.730000+09:00	61	154.9
2020-10-21T10:37:59.760000+09:00	3	155.03
2020-10-21T10:37:59.780000+09:00	8	154.91
2020-10-21T10:37:59.800000+09:00	13	155.02
2020-10-21T10:37:59.830000+09:00	19	154.94
2020-10-21T10:37:59.850000+09:00	24	155.05
2020-10-21T10:37:59.880000+09:00	30	154.98
2020-10-21T10:37:59.900000+09:00	35	154.99
2020-10-21T10:37:59.930000+09:00	40	154.94
2020-10-21T10:37:59.950000+09:00	46	154.87
2020-10-21T10:37:59.980000+09:00	51	154.97
2020-10-21T10:38:00.000000+09:00	57	154.87
2020-10-21T10:38:00.030000+09:00	62	155.02
2020-10-21T10:38:00.050000+09:00	4	154.77
2020-10-21T10:38:00.080000+09:00	9	154.95
2020-10-21T10:38:00.100000+09:00	14	154.83
2020-10-21T10:38:00.120000+09:00	20	154.99
2020-10-21T10:38:00.150000+09:00	25	154.82
2020-10-21T10:38:00.180000+09:00	31	154.96
2020-10-21T10:38:00.200000+09:00	37	154.78
2020-10-21T10:38:00.230000+09:00	42	154.95
2020-10-21T10:38:00.250000+09:00	48	154.87
2020-10-21T10:38:00.280000+09:00	53	155.07
2020-10-21T10:38:00.300000+09:00	59	154.81
2020-10-21T10:38:00.330000+09:00	1	154.92
2020-10-21T10:38:00.350000+09:00	6	154.76
2020-10-21T10:38:00.380000+09:00	12	155.06
2020-10-21T10:38:00.410000+09:00	17	154.67
2020-10-21T10:38:00.430000+09:00	23	155.05
2020-10-21T10:38:00.460000+09:00	29	154.84
2020-10-21T10:38:00.480000+09:00	34	154.78
2020-10-21T10:38:00.510000+09:00	40	154.98
2020-10-21T10:38:00.530000+09:00	45	155.06
2020-10-21T10:38:00.560000+09:00	51	154.87
2020-10-21T10:38:00.580000+09:00	57	155.02
2020-10-21T10:38:00.610000+09:00	62	154.78
2020-10-21T10:38:00.640000+09:00	4	155.28
2020-10-21T10:38:00.660000+09:00	9	154.85
2020-10-21T10:38:00.690000+09:00	15	155.15
2020-10-21T10:38:00.710000+09:00	21	154.95
2020-10-21T10:38:00.740000+09:00	26	155.12
2020-10-21T10:38:00.760000+09:00	32	154.93
2020-10-21T10:38:00.790000+09:00	37	154.99
2020-10-21T10:38:00.810000+09:00	43	154.96
2020-10-21T10:38:00.840000+09:00	48	155.3
2020-10-21T10:38:00.860000+09:00	54	154.92
2020-10-21T10:38:00.890000+09:00	59	155.17
2020-10-21T10:38:00.910000+09:00	0	155
2020-10-21T10:38:00.940000+09:00	6	155.22
2020-10-21T10:38:00.960000+09:00	11	155
2020-10-21T10:38:00.990000+09:00	17	155.11
2020-10-21T10:38:01.010000+09:00	22	154.99
2020-10-21T10:38:01.030000+09:00	28	155.14
2020-10-21T10:38:01.060000+09:00	33	154.89
2020-10-21T10:38:01.080000+09:00	38	155
2020-10-21T10:38:01.110000+09:00	44	155.26
2020-10-21T10:38:01.130000+09:00	49	154.94
2020-10-21T10:38:01.160000+09:00	55	155.01
2020-10-21T10:38:01.180000+09:00	60	154.95
2020-10-21T10:38:01.210000+09:00	1	155.05
2020-10-21T10:38:01.230000+09:00	7	154.91
2020-10-21T10:38:01.260000+09:00	12	155.09
2020-10-21T10:38:01.280000+09:00	18	154.93
2020-10-21T10:38:01.310000+09:00	23	155.07
2020-10-21T10:38:01.330000+09:00	28	154.96
2020-10-21T10:38:01.350000+09:00	34	155.11
2020-10-21T10:38:01.380000+09:00	39	154.95
2020-10-21T10:38:01.400000+09:00	45	155.19
2020-10-21T10:38:01.430000+09:00	50	154.83
2020-10-21T10:38:01.450000+09:00	55	155.13
2020-10-21T10:38:01.480000+09:00	61	154.95
2020-10-21T10:38:01.500000+09:00	2	155.1
2020-10-21T10:38:01.530000+09:00	8	154.97
2020-10-21T10:38:01.550000+09:00	13	155.17
2020-10-21T10:38:01.580000+09:00	19	154.85
2020-10-21T10:38:01.600000+09:00	24	155.13
2020-10-21T10:38:01.630000+09:00	29	155.09
2020-10-21T10:38:01.650000+09:00	35	155.13
2020-10-21T10:38:01.680000+09:00	40	155.07
2020-10-21T10:38:01.700000+09:00	46	155.09
2020-10-21T10:38:01.720000+09:00	51	155.03
2020-10-21T10:38:01.750000+09:00	56	155.17
2020-10-21T10:38:01.770000+09:00	62	155.12
2020-10-21T10:38:01.800000+09:00	3	155.03
2020-10-21T10:38:01.820000+09:00	9	155.23
2020-10-21T10:38:01.850000+09:00	14	154.89
2020-10-21T10:38:01.870000+09:00	20	154.91
2020-10-21T10:38:01.900000+09:00	25	154.9
2020-10-21T10:38:01.920000+09:00	30	154.88
2020-10-21T10:38:01.950000+09:00	36	154.61
2020-10-21T10:38:01.970000+09:00	41	154.98
2020-10-21T10:38:01.990000+09:00	47	154.9
2020-10-21T10:38:02.020000+09:00	52	155.12
2020-10-21T10:38:02.050000+09:00	57	154.78
2020-10-21T10:38:02.070000+09:00	63	155.15
2020-10-21T10:38:02.090000+09:00	4	154.86
2020-10-21T10:38:02.120000+09:00	10	155.12
2020-10-21T10:38:02.140000+09:00	15	155.01
2020-10-21T10:38:02.170000+09:00	20	155.11
2020-10-21T10:38:02.190000+09:00	26	154.89
2020-10-21T10:38:02.220000+09:00	31	155.12
2020-10-21T10:38:02.240000+09:00	37	154.9
2020-10-21T10:38:02.270000+09:00	42	154.99
2020-10-21T10:38:02.290000+09:00	47	154.96
2020-10-21T10:38:02.320000+09:00	53	154.97
2020-10-21T10:38:02.340000+09:00	58	154.95
2020-10-21T10:38:02.370000+09:00	0	154.89
2020-10-21T10:38:02.390000+09:00	5	154.9
2020-10-21T10:38:02.410000+09:00	10	154.84
2020-10-21T10:38:02.440000+09:00	16	154.9
2020-10-21T10:38:02.460000+09:00	21	154.73
2020-10-21T10:38:02.490000+09:00	27	154.94
2020-10-21T10:38:02.510000+09:00	32	154.79
2020-10-21T10:38:02.540000+09:00	38	154.88
2020-10-21T10:38:02.560000+09:00	43	154.85
2020-10-21T10:38:02.590000+09:00	48	154.94
2020-10-21T10:38:02.610000+09:00	54	154.65
2020-10-21T10:38:02.640000+09:00	59	155.11
2020-10-21T10:38:02.660000+09:00	1	154.72
2020-10-21T10:38:02.680000+09:00	6	154.93
2020-10-21T10:38:02.710000+09:00	11	154.79
2020-10-21T10:38:02.740000+09:00	17	154.97
2020-10-21T10:38:02.760000+09:00	22	154.8
2020-10-21T10:38:02.780000+09:00	28	154.94
2020-10-21T10:38:02.810000+09:00	33	154.78
2020-10-21T10:38:02.830000+09:00	38	154.88
2020-10-21T10:38:02.860000+09:00	44	154.75
2020-10-21T10:38:02.880000+09:00	49	154.82
2020-10-21T10:38:02.910000+09:00	55	154.71
2020-10-21T10:38:02.930000+09:00	60	154.62
2020-10-21T10:38:02.960000+09:00	1	154.69
2020-10-21T10:38:02.980000+09:00	7	154.76
2020-10-21T10:38:03.010000+09:00	12	154.6
2020-10-21T10:38:03.030000+09:00	18	154.49
2020-10-21T10:38:03.050000+09:00	23	154.57
2020-10-21T10:38:03.080000+09:00	28	154.41
2020-10-21T10:38:03.100000+09:00	34	154.59
2020-10-21T10:38:03.130000+09:00	39	154.44
2020-10-21T10:38:03.150000+09:00	45	154.48
2020-10-21T10:38:03.180000+09:00	51	154.37
2020-10-21T10:38:03.210000+09:00	56	154.47
2020-10-21T10:38:03.230000+09:00	62	154.2
2020-10-21T10:38:03.260000+09:00	3	154.37
2020-10-21T10:38:03.280000+09:00	9	154.21
2020-10-21T10:38:03.310000+09:00	14	154.31
2020-10-21T10:38:03.330000+09:00	20	154.09
2020-10-21T10:38:03.360000+09:00	26	154.3
2020-10-21T10:38:03.380000+09:00	31	154.08
2020-10-21T10:38:03.410000+09:00	37	154.29
2020-10-21T10:38:03.440000+09:00	42	153.94
2020-10-21T10:38:03.460000+09:00	48	154.15
2020-10-21T10:38:03.490000+09:00	53	153.87
2020-10-21T10:38:03.510000+09:00	59	154.06
2020-10-21T10:38:03.540000+09:00	1	153.79
2020-10-21T10:38:03.560000+09:00	6	154.17
2020-10-21T10:38:03.590000+09:00	12	153.6
2020-10-21T10:38:03.610000+09:00	17	154
2020-10-21T10:38:03.640000+09:00	23	153.88
2020-10-21T10:38:03.660000+09:00	28	153.99
2020-10-21T10:38:03.690000+09:00	34	153.78
2020-10-21T10:38:03.720000+09:00	39	153.93
2020-10-21T10:38:03.740000+09:00	45	153.7
2020-10-21T10:38:03.770000+09:00	50	153.87
2020-10-21T10:38:03.790000+09:00	56	153.58
2020-10-21T10:38:03.820000+09:00	61	153.8
2020-10-21T10:38:03.840000+09:00	3	153.68
2020-10-21T10:38:03.860000+09:00	8	153.72
2020-10-21T10:38:03.890000+09:00	13	153.47
2020-10-21T10:38:03.910000+09:00	19	153.52
2020-10-21T10:38:03.940000+09:00	24	153.67
2020-10-21T10:38:03.960000+09:00	29	153.56
2020-10-21T10:38:03.990000+09:00	35	153.25
2020-10-21T10:38:04.010000+09:00	40	153.29
2020-10-21T10:38:04.040000+09:00	45	153.43
2020-10-21T10:38:04.060000+09:00	51	153.08
2020-10-21T10:38:04.090000+09:00	56	153.33
2020-10-21T10:38:04.110000+09:00	61	153.13
2020-10-21T10:38:04.140000+09:00	3	153.24
2020-10-21T10:38:04.160000+09:00	8	153.07
2020-10-21T10:38:04.190000+09:00	14	153.3
2020-10-21T10:38:04.210000+09:00	19	153.07
2020-10-21T10:38:04.230000+09:00	24	153.23
2020-10-21T10:38:04.260000+09:00	30	152.92
2020-10-21T10:38:04.280000+09:00	35	153.17
2020-10-21T10:38:04.310000+09:00	40	152.95
2020-10-21T10:38:04.330000+09:00	46	153.08
2020-10-21T10:38:04.360000+09:00	51	152.94
2020-10-21T10:38:04.380000+09:00	56	153.02
2020-10-21T10:38:04.410000+09:00	62	152.87
2020-10-21T10:38:04.430000+09:00	3	152.84
2020-10-21T10:38:04.460000+09:00	8	152.73
2020-10-21T10:38:04.480000+09:00	14	152.72
2020-10-21T10:38:04.510000+09:00	19	152.76
2020-10-21T10:38:04.530000+09:00	24	152.67
2020-10-21T10:38:04.550000+09:00	30	152.68
2020-10-21T10:38:04.580000+09:00	35	152.57
2020-10-21T10:38:04.600000+09:00	40	152.67
2020-10-21T10:38:04.630000+09:00	46	152.43
2020-10-21T10:38:04.650000+09:00	51	152.54
2020-10-21T10:38:04.680000+09:00	56	152.34
2020-10-21T10:38:04.700000+09:00	62	152.56
2020-10-21T10:38:04.730000+09:00	3	152.31
2020-10-21T10:38:04.750000+09:00	8	152.53
2020-10-21T10:38:04.780000+09:00	14	152.33
2020-10-21T10:38:04.800000+09:00	19	152.4
2020-10-21T10:38:04.830000+09:00	24	152.14
2020-10-21T10:38:04.850000+09:00	29	152.33
2020-10-21T10:38:04.880000+09:00	35	152.09
2020-10-21T10:38:04.900000+09:00	40	152.05
2020-10-21T10:38:04.920000+09:00	45	152.2
2020-10-21T10:38:04.950000+09:00	51	152.02
2020-10-21T10:38:04.970000+09:00	56	152.09
2020-10-21T10:38:05.000000+09:00	61	151.92
2020-10-21T10:38:05.020000+09:00	3	151.94
2020-10-21T10:38:05.050000+09:00	8	151.76
2020-10-21T10:38:05.070000+09:00	13	151.95
2020-10-21T10:38:05.100000+09:00	18	151.43
2020-10-21T10:38:05.120000+09:00	24	151.83
2020-10-21T10:38:05.150000+09:00	29	151.81
2020-10-21T10:38:05.170000+09:00	34	151.64
2020-10-21T10:38:05.200000+09:00	40	151.68
2020-10-21T10:38:05.220000+09:00	45	151.75
2020-10-21T10:38:05.240000+09:00	50	151.71
2020-10-21T10:38:05.270000+09:00	56	151.77
2020-10-21T10:38:05.290000+09:00	61	151.53
2020-10-21T10:38:05.320000+09:00	2	151.49
2020-10-21T10:38:05.340000+09:00	7	151.52
2020-10-21T10:38:05.370000+09:00	13	151.58
2020-10-21T10:38:05.390000+09:00	18	151.43
2020-10-21T10:38:05.420000+09:00	23	151.24
2020-10-21T10:38:05.440000+09:00	29	151.52
2020-10-21T10:38:05.470000+09:00	34	151.14
2020-10-21T10:38:05.490000+09:00	39	151.33
2020-10-21T10:38:05.520000+09:00	44	151.2
2020-10-21T10:38:05.540000+09:00	50	151.33
2020-10-21T10:38:05.570000+09:00	55	151.2
2020-10-21T10:38:05.590000+09:00	60	151.21
2020-10-21T10:38:05.610000+09:00	2	151.09
2020-10-21T10:38:05.640000+09:00	7	151.12
2020-10-21T10:38:05.660000+09:00	12	151.06
2020-10-21T10:38:05.690000+09:00	17	151.05
2020-10-21T10:38:05.710000+09:00	23	151.08
2020-10-21T10:38:05.740000+09:00	28	150.93
2020-10-21T10:38:05.760000+09:00	33	150.92
2020-10-21T10:38:05.790000+09:00	38	150.93
2020-10-21T10:38:05.810000+09:00	44	151.02
2020-10-21T10:38:05.840000+09:00	49	150.83
2020-10-21T10:38:05.860000+09:00	54	150.94
2020-10-21T10:38:05.890000+09:00	60	150.55
